,selected_text,text,sentiment
12423,Lame.,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why can`t I have more? Lame.,negative
12428,My heart aches for her children, I CAN`T!!! My heart aches for her children  I wanna adopt alexis,negative
12429,y typical," me too  she better be back soon! dude, this is my typical bedtime. but look who is talking! what are YOU doing up so late?",negative
12443,feet are really hurting now thought  ****,walk was grand peeps lol feet are really hurting now thought  ****,negative
12447,sucks for you, probably.  sucks for you.,negative
12448,rubbish.,Another Friday night in. Man being skint is rubbish.,negative
12450,sick..,@ work....boyz make me sick..,negative
12452,haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot, haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot,negative
12459,too difficult on the upkeep.,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,negative
12464,disappointed,"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy",negative
12470,cramping,ughhh my leg is still cramping from my panic attack outside ULU this morning   bloody hurts!!,negative
12472,sorry, What you said is as good as day dreaming!  sorry to say that our country is in such a state....,negative
12477,"i`m relying on my mobile, which lacks reception. Trying to help, but just looking silly"," i`m relying on my mobile, which lacks reception. Trying to help, but just looking silly",negative
12479,sad,there is poor lost duck outside of Olive Garden. that makes me sad,negative
12480,darn.,Oh darn. Lost another follower.,negative
12483,I don`t think the neti pot is working,I don`t think the neti pot is working for me  maybe I`m doing it wrong?,negative
12486,broken,Yao...broken foot...so much for that series  Denver`s next,negative
12488,lonely,lonely,negative
12489,realy can`t sleep,omg i realy can`t sleep ughh,negative
12492,bad, thats too bad,negative
12502,barely,my body is aching. I can barely move...but its worth it to be champs,negative
12504,sad.,"just missed to answer his IM AGAIN! For the nth time! This is making me sad.  Whenever he IM (which is all the time), I am always out.",negative
12507,t doesn`t make sense.," are you giving up on me  oh well. It`s not the counting, it`s the math and the weighting (or lack of) that doesn`t make sense.",negative
12508,Got a deadline to meet!!!,Got a deadline to meet!!! No TGIF for me,negative
12512,missed,Margaritas with my Momo. I`ve missed her.,negative
12513,I`m kinda pissed,so I`m kinda pissed that Boys Like Girls is gonna be at Kentucky Kingdom on a date i already have a show,negative
12514,i thought you would win!, i thought you would win!  Fabulously40 have some bots on her side?,negative
12519,it`s kind of hard, it`s kind of hard to see a pic of a doggie if the pic doesn`t exist,negative
12528,sick,still sick  thinking about naming the puppy june,negative
12529,You burned yourself too??? So did ! ohh no...  xoxo, You burned yourself too??? So did ! ohh no...  xoxo,negative
12530,wrong, yes but 75% are on the wrong wireless plan,negative
12531,garbage.,Hanging out at the San Fran airport. Got a few hour wait until I go anywhere...BTW SFO`s $7 wifi is garbage.,negative
12537,Very sa, Snap. I`m the same with any reality show. Watch the first and I`m hooked   Very sad,negative
12538,They better not be out, They better not be out when I get there.  I NEED MY FIX!,negative
12539,man i **** up,man i **** up that test  playing cod now . 31 days till the summer !,negative
12540,is missing someone..,is missing someone.. haayy..  http://plurk.com/p/x2avn,negative
12541,Can`t seem to sleep,"Can`t seem to sleep tonight... Its 3:38am, I need to get up in less than 4 hours...",negative
12552,I miss them..,I miss them..,negative
12555,sucked,Well that sucked except for the company I had. Go Kelly.,negative
12563,killed ba,sleeping... would`ve been home sooner but we accidentally killed bambi on the way home,negative
12569,people r weird, people r weird,negative
12580,gosh today sucks!,gosh today sucks! i didnt get my tax returns! im so upset cuz now i have to miss my best friends wedding in washington...lame,negative
12585,feelin like blah..,... Still feelin like blah... 3 more hours,negative
12586,s disgusting., Im in so deep its disgusting. I would even take a LITTLE help. BUt alas i sense it will never happen . . .,negative
12590,Not  looking forward,Not  looking forward to next   wednesday at all,negative
12599,burnt,"Dad asked my why I was sticking my tongue out while I was ironing, and I told him it was so I didn`t burn my finger, as I burnt my finger",negative
12601,Here at work still feeling the pain for my friend wish I had a magic wand to erase all the madness,Here at work still feeling the pain for my friend wish I had a magic wand to erase all the madness,negative
12602,is ****.,cleaning and packing. Moving house is ****. It`s going to be a long weekend....,negative
12607,Didn`t sleep good last night.,Didn`t sleep good last night. Woke up with another bellyache  what`s wrong with meeeeeee.,negative
12610,missed my friggin hair,missed my friggin hair appt!!!,negative
12621,boring!,My dad`s telling me to travel alone from now on. Not that I have a problem with that. I`ve done it before and it`s boring!,negative
12625,am still tired,nomatter how much i sleep am still tired,negative
12628,killing me.,My back is killing me. Stupid softball,negative
12629,hard, i couldn`t **** sleep today either. it was hard for me to stay asleep for some reason,negative
12630,m sorry, Oh  I`m sorry  I can`t even imagine...although I know it will be reality for me soon,negative
12634,missed,"Dragging myself to work, missed my fitness class this morn. Need one more weekend day",negative
12636,I totally lost  RIP,I raced her once. I totally lost  RIP  http://tinyurl.com/lhgca8,negative
12647,outta space," I made room...I don`t have a bed from how much room I made and now I`m outta space for sure lol, and I know I`m pathetic",negative
12654,tired.,ahh sore throat and tired. want to go back to bed. but have work,negative
12658,You`re just jealous,  You`re just jealous!  Guess you`ll be walking around the office tomorrow in your Malo!,negative
12659,my kitchen is gonna smell,got FOXY_ a new brew buddy now my kitchen is gonna smell,negative
12669,aarrgghh - fu*k.....a hose ha,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,negative
12673,dead.,omg maddie in holby is dead. Gutted. loved Nadine lewington and really wanted Maddie and Clifford to get together,negative
12675,Wow that is a scary statistic,  Wow that is a scary statistic,negative
12679,bad,My head hurts so bad I could scream!,negative
12681,"Sadly,","_of_max Sadly, no. Now David Tennant has left I don`t particularly want the job anyway",negative
12683,though,"Feel quite down, not quite sure why though :s so going to bed  night everyone x",negative
12684,"I felt HORRIBLE, poor thing","Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE, poor thing",negative
12687,. Lazy shiit.,"Aww   i used to do that when i was little, not so much now ;) haa. Lazy shiit.",negative
12690,stomach ache... Totally sucks,I have a stomach ache... Totally sucks,negative
12694,i dont think,Well then andy i dont think you should date me,negative
12697,Amazing how the house doesn`t look any better for all my efforts,"One load of washing put away, and another load on. Amazing how the house doesn`t look any better for all my efforts",negative
12698,Holy ****!,Holy ****! It`s raining in LA and I don`t have a jacket!  oh no.,negative
12699,sprawled,just seen 1 of the fat single Mums from up the road 'seductively' sprawled across some poor blokes bonnet. He probably needs new shockers,negative
12701,"i cant sleep, i dont deserve this","i cant sleep, i dont deserve this .... N you know it",negative
12709,doesn`t exist anymore.,"When life, as you know it, doesn`t exist anymore.",negative
12711,virus hunting on computer - always wondering what it will destroy,virus hunting on computer - always wondering what it will destroy,negative
12720,late,was late,negative
12729,jealous, http://twitpic.com/66wxk - SO jealous right now!!!hate new england weather,negative
12730,backache,backache,negative
12732,ll mis, i did and i feel great....   but i still miss it...,negative
12735,this is a travesty, this is a travesty,negative
12736,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catche,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catcher,negative
12738,"Missed bus, walking miles,","OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates",negative
12741,sufferin already,"Also, anyone else hayfevery today??? I`ve only been awake for 40mins and sufferin already",negative
12742,funeral at 2.  today is going to be bad.,funeral at 2.  today is going to be bad.,negative
12743,busted,NO! Our TV`s busted  The screen turned white for about a nanosecond while it made a quick 'popping' sound.,negative
12749,doesn`t seem to work,"Just been bitten by SmoothStreaming, it doesn`t seem to work for my client`s linux users...fan-fricking-tastic",negative
12750,missing,Another Qi about to start....I`ll be missing the next 4,negative
12752,nah is next week honey ma fault for confusin u, nah is next week honey ma fault for confusin u,negative
12754,Woke up early! Still sick,Woke up early! Still sick,negative
12758,sorry, oooh im sorry to late i smashed it,negative
12760,quite miffed tbh,My dad and Joe Nugent drank nearly all the Ice Tea  i only have a bit left. quite miffed tbh,negative
12763,long delays, rat run steve irwin way to avoid long delays on bruce highway,negative
12764,gutted, Your not alone im gutted i missed the convention too!,negative
12767,e sickee,  i think my niece got me sickee  lame.,negative
12768,hate, probably not. I hate when that happens!,negative
12769,fml,so instead of laying out in this 90 degrees i`ve gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml,negative
12772,I have a real sleeping disorder,http://twitpic.com/67rcp - Another one...those were taken at 3 am MET! U see I have a real sleeping disorder,negative
12776,miss, aww I miss u too! Haven`t ate,negative
12779,tired," im kinda tired enough to sleep, but 'Migrate' has got me up singing along, haha",negative
12782,worry, Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,negative
12786,im sorry," i didn`t hit the right button or what. i wrote on the sheat tho, that i thought it was the cafe currency button. im sorry",negative
12791,my mom is sick so,Did you guys figure out Saturday? I really wanted to go but my mom is sick so I have to take her to the hospital in Tampa,negative
12792,I am sick.., yeah I need a hug...cuz I am sick..,negative
12796,sukks,ii wanna go home for thee weekend  but ii have no gas. sukks (_!_)!!,negative
12800,dirty,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete",negative
12804,sorry.,"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",negative
12813,Won`t let me watch,_Fangirl Won`t let me watch since i`m in the states.  Boo.,negative
12816,dramatic,OMG !! hollyoaks well dramatic  !!!!!!!!!!!!,negative
12818,unfortunately., i`m using paint.net x64 and it`s running crazily fast - can`t afford CS4 unfortunately... yet,negative
12820,u suck!, u suck! had i went to jail i couldnt tweet anymore,negative
12826,lol seriously.  fail. ::sigh::, lol seriously.  fail. ::sigh::,negative
12835,I got soooo hype,Felt one tooth without the braces bracket. I got soooo hype,negative
12841,"Time for bed, oh how I wish someone was laying next to me","Time for bed, oh how I wish someone was laying next to me",negative
12844,sick," im sick  if i wasnt, id be at the show with ya!",negative
12852,****.,Oh no! I used my internal sig for an external e-mail  ****. #fb,negative
12856,I miss him,I tired today I think I am gonna take a nap before our friends come over tonight....I miss him and wish he was off restriction already...,negative
12858,im drawing pictures to show how much i miss him.,"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",negative
12859,burnt,"slightly burnt challah  The proof is in the eatin`, though...",negative
12862,It`s pissing me off and not letting me follow ericka,It`s pissing me off and not letting me follow ericka,negative
12867,trashed, lol y??? .. trashed the kitchen ?,negative
12870,I can`t do any mor,"  thx, I was aware,  2 day festival -multi bands - but GA I can`t do any more.  Must wait for a sit down concert",negative
12882,bored,Mikey I`m bored,negative
12883,i am mad bored,ya could hit me up on aim or here cause i am mad bored nuttin 2 do,negative
12886,I`m so broke  Life isn`t fair.,Sephora is having a 75% off sale. And I`m so broke  Life isn`t fair.,negative
12887,now I wish I hadn`t,. ... and now I wish I hadn`t,negative
12890,"going crazy, the pain is unbearable..& i gotta wait till thursday!?","going crazy, the pain is unbearable..& i gotta wait till thursday!?",negative
12902,mean, when you haven`t had one in over a week! that was a really mean joke he just played on me!,negative
12907,why do you hate me!?, why do you hate me!?,negative
12910,rubbish," no, def rubbish tonight",negative
12913,i cried too!, in bucher`s class?! i cried too!,negative
12915,struggling,"I`m struggling today...Nola woke up at 3:30, so I`m running on no sleep.",negative
12918,lost,ahh yes the obligations of a vampire kept me away from twitter.but now i`m back & will try 2 update as much as possible.i lost a donor,negative
12919,I`m afraid, I would but I`m afraid I got two left feet,negative
12921,Open office 'writer' is weird.,Open office 'writer' is weird. I need Word to open word documents correctly,negative
12928,"problems,","But now talking about today, Oh my GODNESS! Problems, problems, problems. about love, money, math, parents.....that`s enough, isn`****?",negative
12930,a poor pigeon,the low point: a poor pigeon outside my building isn`t capable of flying. It`s just wandering up and down the sidewalk. so sad,negative
12931,it`s tragic," yeah, it`s tragic  i need a haircut",negative
12932,tired,"Wishing laying on my side wasn`t the only comfortable position, I am tired of laying",negative
12933,I hate PC,I hate PC,negative
12939,Refusing,Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove...,negative
12941,Too bad my cable is off as of friday, Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,negative
12946,realise what tourture, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,negative
12947,bad,Two more loads and the moving crew`s done! Started at 7am and i`m done for the day! Too bad the ac doesn`t work in my new place  oh life!,negative
12948,It`s sad.,Yeah. It`s sad.,negative
12954,Im Not feeling so good,"Heyy, Im Not feeling so good cuz of wat happened yesterday in the car accdentt.",negative
12957,oh godddd,oh godddd I coughed up a little bit of taco,negative
12961,"Unfortunately,"," Unfortunately, I didn`t do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma.",negative
12963,NOT happy!,"just got a haircut, NOT happy!",negative
12964,misses,Already misses the Dunhams.,negative
12965,was laughed at today for being too hopeful with the things...,was laughed at today for being too hopeful with the things...,negative
12969,miss,Listening to: Sweet Talk 101 - Cute Is What We Aim For /// Considering taking up the GameBoy Color again. I miss chiptune.,negative
12970,its not as good as,Watching mens volleyball on TV.  For some reason its not as good as womens beach volleyball.  Cant quite place why,negative
12979,sad,It`s a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,negative
12980,thunder is scaring me,Ok the thunder is scaring me,negative
12983,hate,I hate TweetDeck when it reaches access limits,negative
12984,AWFUL.,"the next 2 weeks, exam wise, are AWFUL. there are 8 exams and I don`t see how I can adequately revise all of them  I care least about...",negative
12986,miss,dang i miss you  goodnight,negative
12989,hurts,my tummy hurts  i blame last night`s chinese food.,negative
12992,trekked out to the wrong place,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place",negative
12996,I was too late for the contest!,"_TheMovie That`s what I get for writing up my Halloween interview w/ Danielle Harris. Darn, I was too late for the contest!",negative
12997,missed,"slept in, missed bus, train delayed, doesn`t stop at my stop, late for work. **** heelllll",negative
13003,Badly.,I want another shake from Ritas.Badly.,negative
13007,fat and sad,I`m a fat and sad puffyn now,negative
13008,Sadly, Sadly no robot songs in my library.,negative
13010,dead.,Earthlink says our modem is dead.  They want me to buy a new one or sign up for a one year contract ARGH!!!,negative
13014,bad,last night sucked... too many bad dreams about spiders and rogue octupi,negative
13016,soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed., That would have been fun BUT we were soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed.,negative
13023,break,"It seems my grandmother has found a way to break a pipe in her house, going to go there now and fix it, she is such a blur woman",negative
13025,i got rained out at the beach., boo. i got rained out at the beach.,negative
13033,wrong I,So I thought the Cavs would crush the Magic and I come home from up north to realize how wrong I was.,negative
13041,gutted,is gutted she isnt going out tonight,negative
13043,i have three hours to do my hair. and it STILL won`t be straight,i have three hours to do my hair. and it STILL won`t be straight,negative
13052,fcking,he just fully yelled  saying dnt be so fcking stupid grow up! stop with this band **** then... throws the remote at me thnks love u2,negative
13062,panic,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",negative
13063,i now have brian freeze,WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,negative
13064,ya know why today sucks?,"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",negative
13066,Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,negative
13067,Hell of a lot to do. But they say you shouldn`t complain theese days. Who are 'they' and can 'they' help me in that case,Hell of a lot to do. But they say you shouldn`t complain theese days. Who are 'they' and can 'they' help me in that case,negative
13069,ruined th,Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,negative
13074,"pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the board"," pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",negative
13076,still feeling BLAH.,still feeling BLAH. gave a biiiiig dose of insulin that i needed about 24 hours ago. Now I`m off to take my last exam of my junior year.,negative
13080,HOMELESS afterJune 1st....,HOMELESS afterJune 1st.......,negative
13084,crooning,"i had a dream last night, and i was singing  first avid dream of myself crooning away!",negative
13097,miss,Not babysitting tonight. I miss that kid.,negative
13101,haven`t been able to, my riding time has been dismal too during these rainy weeks.  haven`t been able to make myself to go to the gym instead.,negative
13102,dying.,macbook dying. switching to iphone.,negative
13103,passed away in,The Oddo`s grandfather passed away in his sleep,negative
13105,hurts,Ow it hurts,negative
13106,Why do none of my thoughts make sense when I`m sober?,Why do none of my thoughts make sense when I`m sober?,negative
13109,About to go to my last theater lunch  im gonna cry.,About to go to my last theater lunch  im gonna cry.,negative
13110,missed, i`m still thinking about that *FKC* meal I missed yesterday,negative
13116,not really sure., not really sure. need to deposit and save some money,negative
13118,I lost, no.  I lost the link you sent when I had to pull my battery.,negative
13122,so sad,watching missy elliot video collection so sad I was told that I looked like her all through high school,negative
13130,dammit!, i changed my mind dammit!! a Tsar can change his mind at any time without no prior notice,negative
13132,dieing," my internet in like 9th grade was so fast, its dieing out",negative
13145,is sick and it doesn`t seem like i`m getting better,is sick and it doesn`t seem like i`m getting better,negative
13148,My head hurts beyond much.,My head hurts beyond much.,negative
13155,a day is hard to cope with on my android phone when I`m unable to filter, nah ;) when a single person posts about 200 tweets a day is hard to cope with on my android phone when I`m unable to filter,negative
13160,frustrated,Tryin to figure out how to direct message and is gettin frustrated,negative
13166,Kristen i miss you,Kristen i miss you,negative
13171,miss,i miss rich,negative
13176,m sorryyyyyy, I`m sorryyyyyy  I`ll be home as fast as possible where we meeting at?,negative
13177,dragged, its not just you - its properly dragged this week,negative
13186,not a good time to be going overseas,Our currency is dropping like nobodies business; not a good time to be going overseas  http://is.gd/JsgL,negative
13188,_l I got excited when I thought that exhibit was in Sydney. But it`s not,_l I got excited when I thought that exhibit was in Sydney. But it`s not,negative
13192,lost,Haavent read the paper yet about the magic loss nor did i get to watch the game last night.... But i do know that we lost,negative
13199,i`m gonna miss eddy,i`m gonna miss eddy if we`re half the country apart,negative
13201,"a filthy, bloody mess   lovely weather","Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!",negative
13207,in a very stress mood,in a very stress mood,negative
13211,barely,"is HOT. Just done some late spring cleaning! About to settle down with a book i can barely read, left my glasses at my mums",negative
13215,We`ll miss you,We`ll miss you ...   Those lucky Edmontonians!,negative
13220,darn it.,darn it. I did it again.!  keep forgetting that darn 'D' for DM`s.....,negative
13221,kind of down,listening to music...feeling kind of down,negative
13231,not enjoying,"not enjoying this cold, raininy Boston day.  I think my new metal back doesn`t like getting wet. ;-)",negative
13240,"i`m afraid about the maths one,","NAPLAN testing, tuesday, wednesday & thursday. i`m afraid about the maths one, english ,not so much",negative
13241,I am so bored.,I am so bored.  My homework is done for my master`s program and It`s Friday nite wit nutin to do.,negative
13243,well we aren`t normal then, well we aren`t normal then because 1. we can`t drive in mexico (you have to be 18) and 2. there are no dairy queens here,negative
13248,missing,is missing Tampa,negative
13252,ouch, ouch  does picking your nose count?,negative
13253,don`t like,"TGIF I don`t like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",negative
13256,broke down.,My car broke down.   Time to start looking at getting another.  If its not one thing its another.,negative
13258,sorry,:   sorry guys i have to drop out of the trip... some personal commitments..,negative
13260,boo!,boo! i can`t sleep again  saying hi to random people,negative
13266,hurts,my thumb hurts after breaking the nail....,negative
13269,"you drank it on the sly,"," you drank it on the sly, didn`t you and that`s why you`re asking. I know how you are",negative
13272,useless,I feel useless I don`t know what to do right now. I`m so bored,negative
13273,Ugh cramps,Ugh cramps  and it`s hot,negative
13274,id much rather be at,Getting ready for my graduation party ........(id much rather be at Hello Marquee or Dane Cook),negative
13279,sorrry, I hate snood. lol. sorrry  i dont know how people play it!,negative
13281,"SAD,","What I would have done with legless stillborn spaniels, no idea. BUT I WAS SAD, so now, 20yrs later, strawberries = dead puppies.",negative
13282,hand hurts,hand hurts,negative
13284,sad,"Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad",negative
13285,Okay I`m seriously bored. I have nothing to do. I can`t go out cause it`s raining.,Okay I`m seriously bored. I have nothing to do. I can`t go out cause it`s raining.,negative
13288,hate,Dang! My voice wont came out! And my snots is covering all my tissues... DANGIT! I hate FLU!,negative
13295,really sorry," hmm, okayy, im really sorry to hear about it  why do you thikn she would have done that? :S",negative
13297,tired,2 days after #all4web ...i`m still tired,negative
13299,over tanning,PArts of me are starting to feel the effects of over tanning,negative
13300,lonely,Ichigo has been good at Ping&pooping outside but not used to the fact he doesn`t have his sister  lonely puppy,negative
13302,bloody,Is in bed not able to sleep  bloody bipolar!,negative
13304,", my tummy is not happy. Boo.","Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",negative
13310,suck.," Grrr, people suck. I cry when animals die on nature shows.  These people are sick. No hunting endangered species!",negative
13311,no clue wtf im doing,no clue wtf im doing,negative
13321,Noooooo worst news,Noooooo worst news ever today my tattoo artist is moving omg what am I going to do!?!?!?!?,negative
13336,everyone has left me,everyone has left me and gone to bed,negative
13339,it cant be that good,_beckwith it cant be that good if your twittering instead of watching it  ****,negative
13340,"Me and him are **** done,","_joyner And he can`t even tell me.  Me and him are **** done, professionally. ****` ****.",negative
13341,having no service sucks,misses her phone... having no service sucks,negative
13344,sucked away,holy ****. where did all my time go? =/ gta4 has sucked away my life.. and wasted a whole week! ...i wish i had more self control,negative
13345,we didnt see you though, we watched the today show(: we didnt see you though,negative
13348,kicked,Waaaaaaaa they kicked us out of the bank. Getting it until monday  OMG Chilito,negative
13353,Ugh.,It`s Friday... But its only Friday morning. Ugh.,negative
13354,?  It doesn`t sound goo,  Linda ~ What do you mean by your last post??  It doesn`t sound good,negative
13361,sorry, I`m sorry you`re not having the best day - neither am I though  Are you working tonight??,negative
13372,sucks,I`ve been dead the past 2 days...the flu sucks,negative
13373,e sad,  dont make me sad... i do agree tho it does need some more of SA`s magical lyrics,negative
13381,Rest in peace ma,Rest in peace marshall,negative
13389,uncomfortable..,leather jackets=uncomfortable....not my thing,negative
13392,I`m so sick,Kill me now I`m so sick    n it`s Friday night!!,negative
13396,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,negative
13397,. Pleaseeeeeeeeeeeeee Im Bored., Lol I Sed Want to Not Ach Dress Up For No Reason. Pleaseeeeeeeeeeeeee Im Bored.  Lol,negative
13401,Oh MAN !!,Oh MAN !! I was going to connect my old school Nintendo to play mario games. And is not in the bag I gotta search for it.,negative
13406,unfortunately," Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",negative
13413,DAMMIT!, DAMMIT! lets have a private session,negative
13418,break,I think I`m about to break my own heart. (as emo as that sounds)... meh.,negative
13419,I miss,I need to play inFamous... Where`s a free Blockbuster rental coupon when you need one? I miss that Coke Reward,negative
13420,Sickkkk,Sickkkk  ....and I need 11/20--NOW.,negative
13423,dont like,Seriously. I dont like girls.,negative
13428,you have the odd nugget of wisdom., naw...I`ll keep you in. Turns out you have the odd nugget of wisdom.,negative
13434,scariest, that sounds like the scariest zombie dream ever.,negative
13440,miss,i miss my daddy,negative
13441,delayed,stranded @ delhi Airport  flight delayed,negative
13442,not nice,"Hey dude who turned down a flyer, you`re a poser and not nice",negative
13444,fool,I must be the only fool in twitterland that doesn`t get retweet!!  #sadsville,negative
13446,"except the fact that it`s been raining since Wednesday, and not supposed to stop till Monday. ew."," except the fact that it`s been raining since Wednesday, and not supposed to stop till Monday. ew.",negative
13447,boring,FB is boring   and i wanna sing RIGHT NOW..! *-*,negative
13449,u guys are soo unfair smh...,  u guys are soo unfair smh...,negative
13467,..stupid weather., The party has to be moved to next weekend  ..stupid weather.,negative
13468,"Yes it`s herrrrr.  Dude, I`m gonna **** cry."," Yes it`s herrrrr.  Dude, I`m gonna **** cry.",negative
13476,couldn`t remember wh,_mejer I couldn`t remember what all the different cords meant. I lost half of them leaving the graduation anyway.,negative
13478,will be so boring.,I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,negative
13480,fail!,"Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.",negative
13481,sad,Last day I`m LA. I am so so sad,negative
13482,really shouldnt have.,oops i did it again...really shouldnt have.,negative
13486,heavy," I do too, but not heavy rain, which we`ve had 4 more than a wk.",negative
13491,****,in my room its too **** warm! windows open but im still cooking !,negative
13497,heard you slutted it up!, heard you slutted it up! I`m totally jealz~ I missed it. Maybe next time!,negative
13500,Not married any more! Silly man!," Not married any more! Silly man! That was done long ago, you do read my tweets! Barely escaped w/out paying him alimony!",negative
13504,****, **** - doesn`t show how people are more conservative in blackjack,negative
13512,Sad face moment of the day,Sad face moment of the day,negative
13513,disappointed,@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*,negative
13532,"sitting in katies house with jo, the other two are away doing stuff, and i have swine flu  and bronchitis but thats a diff story.","sitting in katies house with jo, the other two are away doing stuff, and i have swine flu  and bronchitis but thats a diff story.",negative
13536,Man I`m sick,"Ouch, my back. Man I`m sick",negative
13537,Fail., Major Fail. Since you asked,negative
13546,no food,no food since woke up.,negative
13549,Missing you all deeply,Missing you all deeply,negative
13553,I don`t like,I don`t like waiting,negative
13558,boo fo,boo for all the season finales..,negative
13567,i didn`t get to chat!, i didn`t get to chat!   .  oh well.  time to eat a praline.,negative
13568,lost,Bit devastated that I lost my entire documents folder on my home computer.,negative
13572,im so bummed,**** im so bummed out right now....nobody loves me,negative
13580,I didn`t look cute.,break from packing. watching the office  Pam: 'I had just woken up. I didn`t look cute. That`s how I knew he meant it.',negative
13581,good," we have two small dogs, good to hear that Center Parcs wd take them. Cruising to New York on the Queen Mary 2, real treat",negative
13582,"'I only think of you as breaking my heart, I`m trying to keep it together but I`m falling apart.'","'I only think of you as breaking my heart, I`m trying to keep it together but I`m falling apart.'",negative
13592,sick,Poor Johnny is sick   Looks like he`ll be going to the vet tomorrow,negative
13598,He made me sad, just called me a cheeseburglar. He made me sad,negative
13600,IT IS MADE OF FAIL!,_taff_jones  Oh and...NEVAR USE KDE IT IS MADE OF FAIL!,negative
13603,i have being lost,Trying to find a foreign place in a foreign town  i have being lost,negative
13604,Sadly,ended up face to face with a bear on 181 driving home this evening.  Sadly he took off into the woods before i hauled out my cameraphone,negative
13607,hurts,_cass my throat hurts today.  blahhh.,negative
13614,tough,"@_erica Yea, its tough to keep it going. Sometimes I`m not sure its worth it.",negative
13615,exhausted,I`m completely exhausted thanks to yesterday.  Can I go home yet?,negative
13617,i hated it.," that happened to me so often, i hated it. every time i moved to a username that i thought i`d love, i moved soon after.",negative
13622,weird, Ugh my trousers do that too and I`ve never found a way to combat it! It`s so weird,negative
13626,he thinks he`s a gangsterrr  his **** don`t even fit in G Unit, he thinks he`s a gangsterrr  his **** don`t even fit in G Unit. & I know :| ))))),negative
13627,Freckles," Im 20 - believe me, I`ve tried! I`m just too ginger! Freckles join up on my face - that`s it!  get it out a bottle cancer ...",negative
13636,****, **** i got a **** of hw to do 2nite,negative
13637,kk hates me  -cryy,3 tweeets {:    FGS tweekdeckkk hates me  -cryyyy,negative
13638,Someone stole my new laptop at the airport.,Someone stole my new laptop at the airport. haven`t even used it. Guess the US economy is breeding a new set of 'opportinists',negative
13639,scare, I scare you? No!,negative
13642,miss, any chance you might come back to moncton? i had to miss the show tonight,negative
13645,"wouldn`t have to worry about the bus being ****,","Well if you actually went and got your drivers license you wouldn`t have to worry about the bus being ****, haha.",negative
13647,depressing,todays weigh in....  only lost 1/2 pound this week :o depressing,negative
13648,might not be a good thing, living quite so close to RAF boulmer that might not be a good thing,negative
13649,Too bad, Too bad we`re in Sweden where Up isn`t up on the theaters  here until October,negative
